provinsi,produksi_padi_2025,produksi_jagung_2024,produksi_alpukat_2025,produksi_anggur_2025,produksi_apel_2025,produksi_belimbing_2025,produksi_duku_langsat_kokosan_2025,produksi_durian_2025,produksi_jambu_air_2025,produksi_jambu_biji_2025,produksi_jengkol_2025,produksi_jeruk_besar_2025,produksi_jeruk_siam_keprok_2025,produksi_mangga_2025,produksi_manggis_2025,produksi_melinjo_2025,produksi_nangka_cempedak_2025,produksi_nenas_2025,produksi_pepaya_2025,produksi_petai_2025,produksi_pisang_2025,produksi_rambutan_2025,produksi_salak_2025,produksi_sawo_2025,produksi_sirsak_2025,produksi_sukun_2025,produksi_buah_naga_2025,produksi_jeruk_lemon_2025,produksi_lengkeng_2025,produksi_bawang_daun_2025,produksi_bawang_merah_2025,produksi_bawang_putih_2025,produksi_bayam_2025,produksi_buncis_2025,produksi_cabai_rawit_2025,produksi_kacang_panjang_2025,produksi_kangkung_2025,produksi_kembang_kol_2025,produksi_kentang_2025,produksi_ketimun_2025,produksi_kubis_2025,produksi_labu_siam_2025,produksi_melon_2025,produksi_paprika_2025,produksi_petsai_sawi_2025,produksi_semangka_2025,produksi_stroberi_2025,produksi_terung_2025,produksi_tomat_2025,produksi_wortel_2025,produksi_cabai_besar_tw_teropong_2025,produksi_cabai_keriting_2025,produksi_jamur_tiram_2025,produksi_jamur_merang_2025,produksi_jamur_lainnya_2025,cluster,cluster_name
Aceh,1615200.0,52249.4,122079.168,1.85,66.19,2247.038,5482.569,58496.921,4929.351000000001,6060.844999999999,19114.44,6188.035,55383.575,23588.604,7091.485000000001,28475.392,9195.556,12465.345,41842.243,2181.9990000000003,46517.179,71187.75,455.59,2592.3630000000003,1160.267,1617.9,375.34,966.505,510.205,687.5600000000001,13281.55,0.0,5040.372,211.8,112302.144,13674.242000000002,7586.144999999999,450.1,7560.655000000001,16575.038,1374.1,894.1,300.1,7.0,2660.402,7877.45,26.3,9484.551,10211.23,44.6,129.25,184095.024,2.201,1.576,0.02,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol
Bali,587866.0,39055.43,4852.874,19111.885,0.0,421.988,516.8050000000001,29744.094,825.0690000000001,2792.473,0.7,353.255,109585.369,62127.85799999999,8493.824,305.43600000000004,19644.368,381.484,8193.265,5.26,134617.75,9619.908,27093.948,2752.802,247.022,237.793,2377.661,982.89,114.79,368.22,39906.95,3.555,869.993,4529.423000000001,27280.977000000003,4325.092,5172.744000000001,187.995,229.3,5646.874,11576.85,17014.629999999997,210.577,227.13,14155.838,19079.592,451.47,1911.642,7735.778,543.4,5544.585,0.137,50.601,0.215,0.525,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol
Banten,1774017.0,12677.14,5207.389,22.25,0.0,640.024,10759.935,52242.806,4802.729,5081.849,13295.708,10.63,929.232,29626.837,43118.815,37631.05,4667.956,206.714,16309.004,15983.762,337551.1,29131.21,1398.365,2137.563,4437.527,5766.280000000001,50.586,166.29000000000002,123.047,201.36,1395.076,0.0,7642.513000000001,43.63,7621.336999999999,4009.93,10552.912,0.0,0.0,4759.972,58.9,113.05,257.66,0.0,8681.547999999999,824.5,0.0,1643.572,496.371,135.0,321.332,7521.563,107.917,0.2,26.0,3,Produksi Menengah dengan Komoditas Buah/Tropis Menonjol
Bengkulu,266567.0,62876.83,8226.831,3.5,4.464,197.507,493.97,15432.825,682.9399999999999,1846.095,4621.794,6.7,14800.966,3833.905,4652.932,249.659,3932.293,128.261,112814.275,2337.795,13133.126,2929.163,1325.1219999999998,990.914,242.881,229.43,67.64500000000001,15.31,760.5,4041.598,577.65,4.0,265.707,10306.635,24032.015,12902.219,807.6279999999999,2543.825,2162.4,13685.74,8431.6,5660.6,615.6600000000001,0.0,8388.228,1433.42,11.7,20413.54,23964.93,7832.0,19415.370000000003,15893.857,107.82,1.0,0.0,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol
DI Yogyakarta,547510.0,189378.3,16119.151999999998,77.985,0.0,1003.24,1489.345,11549.956,4163.666,7432.505,29.847,65.17,3016.812,43225.58,2473.656,27876.507,22011.111,906.191,17142.470999999998,8875.304,95555.56,18184.472,45500.824,4750.398,1619.096,10341.21,1648.6740000000002,118.037,3182.548,330.15,26718.601,0.0,3182.638,151.86,25029.913,1737.114,5871.9,55.722,0.0,1038.75,0.5780000000000001,20.005000000000003,6663.87,0.0,3390.058,4366.611,1.765,2824.681,667.76,0.0,2807.518,45171.772,1885.058,26.69,12.09,3,Produksi Menengah dengan Komoditas Buah/Tropis Menonjol
DKI Jakarta,1487.0,0.0,150.865,17.766,0.0,2161.263,4.41,184.49,8092.324,1127.915,0.108,7.639,111.369,13762.731,200.775,63.908,472.78,1.192,1668.158,26.338,10683.242,3411.802,5.68,229.318,72.983,181.809,5.92,342.158,14.063999999999998,0.0,5.273,0.0,2452.203,0.0,42.193,0.023,3191.884,47.147000000000006,0.0,0.0,0.0,6.4,0.79,0.0,1915.871,0.0,0.0,52.839,2.997,0.0,0.032,0.066,0.0,0.0,0.0,0,Produksi Multi-Komoditas Relatif Rendah
Gorontalo,281171.0,625972.1,149.41500000000002,0.0,0.0,10.1,164.695,6294.432,4.982,15.922,1.98,560.5,26393.74,3260.268,1.8,0.0,853.4,354.09000000000003,891.1200000000001,3.652,6009.731,1326.75,107.82,1.0,14.063999999999998,4.926,45.6,0.9,1.2,55.525,37.1,0.0,4.951,0.0,11039.735,738.3,603.72,0.0,0.0,370.445,0.0,162.75,4.5,0.0,24.93,251.4,0.0,1774.53,6478.37,0.0,0.0,469.42,0.059,0.0,0.0,0,Produksi Multi-Komoditas Relatif Rendah
Jambi,367791.0,10530.87,20827.388,2.48,0.0,1261.248,26428.803000000004,50551.826,4589.139,3374.534,9113.753,241.835,48771.426,8598.965,16304.621,2771.562,12718.634,225714.995,14948.6,3834.262,43553.837,10568.615,6648.101,4526.875,1601.452,5143.218,933.376,1340.608,2300.431,12287.4,21855.898,0.0,4356.701,6675.43,42173.875,6298.369000000001,5835.62,11419.4,132836.2,6146.168,87624.0,7958.75,734.162,0.0,36441.346000000005,6493.849,8.681999999999999,33768.551,100281.408,17066.5,653.5,213975.327,123.225,0.0,0.0,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol
Jawa Barat,10226654.0,564290.8,112493.462,339.446,0.0,8747.115,9499.22,103970.729,27976.731,64383.831000000006,18545.4,7656.704,51143.138,424833.165,49781.502,31440.669,91153.242,215603.983,91797.938,82207.347,1311578.673,122332.959,9945.954,20780.702,16137.399,24679.446,1786.563,20755.249,1546.19,156709.563,199415.401,261.8,37279.898,75280.20999999999,198791.659,66603.18299999999,68388.687,30636.365,237242.95,127456.072,218922.057,91096.136,1080.407,1771.37,149803.017,4838.280000000001,41718.55,118827.545,268431.069,84202.8,137216.821,221733.071,11505.899,2065.669,331.06,2,Sentra Produksi Multi-Komoditas Sangat Tinggi
Jawa Tengah,9304063.0,2426509.0,196190.798,237.445,18.1,18781.735,13459.439000000002,184190.187,59282.162,95435.746,13836.948,21459.792,30967.947,545258.213,12147.288,48380.202000000005,139582.63400000002,323296.156,148399.628,113282.82,939759.501,99658.458,412228.44,14812.642000000002,20144.611,40118.946,2622.445,4857.51,16244.27,123190.143,584034.5009999999,23542.112,16103.5,33046.815,266305.06200000003,18184.357,34535.228,26414.33,357246.319,26657.992,200949.204,103434.46,22086.169,7.273999999999999,97134.268,46261.81,429.699,57627.59,113012.619,133966.95,50122.863,167398.271,8374.198,37.39,709.191,2,Sentra Produksi Multi-Komoditas Sangat Tinggi
Jawa Timur,10438361.0,4595792.0,286312.78500000003,200.454,157897.127,60250.311,12858.253,425183.091,25958.07,77208.017,2494.144,34432.778000000006,1135171.265,1303794.99,34165.543,22136.529,215126.49,506409.556,280299.971,67592.073,2810401.177,142483.548,386041.446,17578.735999999997,27290.102000000003,23987.914,338806.009,8450.788,15017.689000000002,115937.798,500301.227,324.308,14895.638,26274.841,603717.826,31270.603000000003,33199.952000000005,28895.090000000004,252624.232,62127.868,210179.06,78854.088,60549.280000000006,4630.675,83320.809,113104.785,578.914,94180.995,126810.23,89213.55799999999,104535.644,35664.668,12864.199,172.96800000000002,172.824,2,Sentra Produksi Multi-Komoditas Sangat Tinggi
Kalimantan Barat,757829.0,90419.41,2327.663,31.292,0.0,1304.023,7150.157000000001,47850.779,3213.775,5515.057,10937.054,393.706,131516.087,7285.608,2692.678,908.99,9178.309,118186.395,14404.023,6503.728,81927.19399999999,13361.545000000002,541.17,1861.207,1392.101,2257.608,14707.38,306.43,706.255,834.4780000000001,8.6,0.0,3267.945,633.42,8419.011999999999,4788.158,5493.035,0.0,0.0,6977.152,0.0,122.886,354.35900000000004,0.0,3741.136,4080.983,0.0,5040.505999999999,2192.569,0.0,2849.542,945.82,0.103,0.0,0.0,3,Produksi Menengah dengan Komoditas Buah/Tropis Menonjol
