provinsi,luas_panen_padi_januari_2025,luas_panen_padi_februari_2025,luas_panen_padi_maret_2025,luas_panen_padi_april_2025,luas_panen_padi_mei_2025,luas_panen_padi_juni_2025,luas_panen_padi_juli_2025,luas_panen_padi_agustus_2025,luas_panen_padi_september_2025,luas_panen_padi_oktober_2025,luas_panen_padi_november_2025,luas_panen_padi_desember_2025,luas_panen_padi_tahunan_2025,luas_panen_jagung_2024,produktivitas_jagung_2024,produksi_jagung_2024,luas_panen_padi_2024,produktivitas_padi_2024,produksi_padi_2024,luas_panen_padi_2025,produktivitas_padi_2025,produksi_padi_2025,produksi_padi_januari_2025,produksi_padi_februari_2025,produksi_padi_maret_2025,produksi_padi_april_2025,produksi_padi_mei_2025,produksi_padi_juni_2025,produksi_padi_juli_2025,produksi_padi_agustus_2025,produksi_padi_september_2025,produksi_padi_oktober_2025,produksi_padi_november_2025,produksi_padi_desember_2025,produksi_padi_tahunan_2025,produksi_padi_2025_dataset6,produksi_beras_2025,produksi_alpukat_2025,produksi_anggur_2025,produksi_apel_2025,produksi_belimbing_2025,produksi_duku_langsat_kokosan_2025,produksi_durian_2025,produksi_jambu_air_2025,produksi_jambu_biji_2025,produksi_jengkol_2025,produksi_jeruk_besar_2025,produksi_jeruk_siam_keprok_2025,produksi_mangga_2025,produksi_manggis_2025,produksi_melinjo_2025,produksi_nangka_cempedak_2025,produksi_nenas_2025,produksi_pepaya_2025,produksi_petai_2025,produksi_pisang_2025,produksi_rambutan_2025,produksi_salak_2025,produksi_sawo_2025,produksi_sirsak_2025,produksi_sukun_2025,produksi_buah_naga_2025,produksi_jeruk_lemon_2025,produksi_lengkeng_2025,produksi_bawang_daun_2024,produksi_bawang_merah_2024,produksi_bawang_putih_2024,produksi_bayam_2024,produksi_buncis_2024,produksi_cabai_rawit_2024,produksi_kacang_panjang_2024,produksi_kangkung_2024,produksi_kembang_kol_2024,produksi_kentang_2024,produksi_ketimun_2024,produksi_kubis_2024,produksi_labu_siam_2024,produksi_melon_2024,produksi_paprika_2024,produksi_petsai_sawi_2024,produksi_semangka_2024,produksi_stroberi_2024,produksi_terung_2024,produksi_tomat_2024,produksi_wortel_2024,produksi_cabai_besar_tw_teropong_2024,produksi_cabai_keriting_2024,produksi_jamur_tiram_2024,produksi_jamur_merang_2024,produksi_jamur_lainnya_2024,produksi_bawang_daun_2025,produksi_bawang_merah_2025,produksi_bawang_putih_2025,produksi_bayam_2025,produksi_buncis_2025,produksi_cabai_rawit_2025,produksi_kacang_panjang_2025,produksi_kangkung_2025,produksi_kembang_kol_2025,produksi_kentang_2025,produksi_ketimun_2025,produksi_kubis_2025,produksi_labu_siam_2025,produksi_melon_2025,produksi_paprika_2025,produksi_petsai_sawi_2025,produksi_semangka_2025,produksi_stroberi_2025,produksi_terung_2025,produksi_tomat_2025,produksi_wortel_2025,produksi_cabai_besar_tw_teropong_2025,produksi_cabai_keriting_2025,produksi_jamur_tiram_2025,produksi_jamur_merang_2025,produksi_jamur_lainnya_2025
Aceh,13865.52,19182.13,51639.22,48258.22,28268.68,11499.55,2206.68,16743.13,32261.5,38641.97,9338.54,11276.88,283182.01,10090.26,51.78,52249.4,301196.35,55.11,1659966.28,283182.0,57.04,1615200.0,71061.29,105254.72,294608.47,281119.38,159158.95,62726.81,12074.69,93899.42,191958.11,225174.64,53601.03,64562.57,1615200.08,1615200.0,930489.0,122079.16799999999,1.85,66.19,2247.038,5482.569,58496.920999999995,4929.351000000001,6060.844999999999,19114.44,6188.035,55383.575,23588.604,7091.485000000001,28475.392,9195.556,12465.345,41842.243,2181.9990000000003,46517.179,71187.75,455.59,2592.3630000000003,1160.267,1617.9,375.34000000000003,966.5049999999999,510.20500000000004,689.65,13184.395999999999,0.0,4961.005,186.3,64493.916000000005,15636.613000000001,7645.561,417.1,11024.1,17108.275,3423.5919999999996,1259.55,308.36,16.0,2370.279,5570.2,45.7,9838.179,10943.169,110.35,3426.6,65996.905,35.855000000000004,2.33,0.0,687.5600000000001,13281.55,0.0,5040.372,211.8,112302.144,13674.242000000002,7586.1449999999995,450.1,7560.655000000001,16575.038,1374.1,894.1,300.1,7.0,2660.402,7877.45,26.3,9484.551,10211.23,44.6,129.25,184095.024,2.201,1.576,0.02
Bali,7376.7,4694.85,8251.58,7116.69,14121.57,9947.08,7875.37,5871.08,6254.04,7365.22,7552.45,10017.66,96444.3,7669.79,50.92,39055.43,103803.93,61.22,635473.35,96444.0,60.95,587866.0,43254.85,28914.99,50079.95,42779.62,83054.26,59620.41,46824.21,34029.16,39002.45,47617.7,48372.31,64316.37,587866.28,587866.0,331531.0,4852.874,19111.885000000002,0.0,421.988,516.8050000000001,29744.094,825.0690000000001,2792.473,0.7,353.255,109585.36899999999,62127.85799999999,8493.824,305.43600000000004,19644.368,381.48400000000004,8193.265,5.26,134617.75,9619.908,27093.947999999997,2752.802,247.022,237.79299999999998,2377.661,982.89,114.79,510.554,35099.358,116.674,836.924,4072.6800000000003,23190.706,6147.647,5291.736,1137.065,138.05,5736.255999999999,12445.081,40426.459,341.585,144.1,16804.523,24718.434,331.0,1765.9180000000001,4380.528,1484.75,7614.564,1.7,15.674000000000001,0.0,0.0,368.21999999999997,39906.95,3.5549999999999997,869.993,4529.423000000001,27280.977000000003,4325.092,5172.744000000001,187.995,229.3,5646.874,11576.85,17014.629999999997,210.577,227.13000000000002,14155.838,19079.592,451.46999999999997,1911.6419999999998,7735.778,543.4,5544.585,0.137,50.601,0.215,0.525
Banten,3759.02,25688.22,71996.91,54716.02,13186.4,12298.59,43728.17,53761.46,35683.3,16064.32,7152.36,7385.77,345420.55,2112.0,60.02,12677.14,299090.79,51.84,1550623.46,345421.0,51.36,1774017.0,20822.2,138714.14,398689.8,296544.83,63718.93,59061.13,206875.23,257750.35,178194.84,80854.72,35765.89,37024.81,1774016.87,1774017.0,1010357.0,5207.389,22.25,0.0,640.024,10759.935000000001,52242.806,4802.729,5081.849,13295.707999999999,10.629999999999999,929.232,29626.837,43118.815,37631.05,4667.956,206.714,16309.004,15983.761999999999,337551.1,29131.21,1398.365,2137.563,4437.527,5766.280000000001,50.586,166.29000000000002,123.047,328.78000000000003,1080.701,0.0,7846.9169999999995,56.3,2705.1259999999997,4052.5099999999998,10281.9,0.0,0.0,5873.51,3.2,81.2,225.86399999999998,0.0,8051.978999999999,356.12399999999997,0.0,2643.156,475.322,93.7,284.18899999999996,3096.517,132.49200000000002,0.0,3.6,201.35999999999999,1395.076,0.0,7642.513000000001,43.63,7621.3369999999995,4009.9300000000003,10552.912,0.0,0.0,4759.972,58.9,113.05,257.65999999999997,0.0,8681.547999999999,824.5,0.0,1643.5720000000001,496.371,135.0,321.332,7521.563,107.917,0.2,26.0
Bengkulu,4728.46,3300.18,5762.55,7089.79,7883.55,3395.65,1261.04,1762.81,4332.41,3521.36,3361.55,5254.53,51653.88,9861.27,63.76,62876.83,55775.09,48.92,272848.55,51654.0,51.61,266567.0,26568.3,17809.46,28679.14,35793.94,40327.0,16804.4,6220.54,8315.96,21756.78,18981.11,16910.2,28400.56,266567.39,266567.0,153533.0,8226.831,3.5,4.464,197.507,493.96999999999997,15432.825,682.9399999999999,1846.095,4621.794,6.7,14800.966,3833.905,4652.932,249.65900000000002,3932.293,128.261,112814.275,2337.795,13133.126,2929.163,1325.1219999999998,990.914,242.881,229.43,67.64500000000001,15.309999999999999,760.5,14064.425,722.2149999999999,0.0,281.446,25422.891,24207.91,9009.86,2406.705,10824.8,3585.8,17924.825,64381.280000000006,13371.8,337.11,0.77,30272.365,1341.76,64.8,76958.809,32662.959000000003,33542.85,29653.184999999998,16923.309,554.054,0.017,0.005,4041.5980000000004,577.65,4.0,265.707,10306.635,24032.015,12902.219000000001,807.6279999999999,2543.825,2162.4,13685.74,8431.6,5660.6,615.6600000000001,0.0,8388.228,1433.42,11.7,20413.54,23964.93,7832.0,19415.370000000003,15893.857,107.82000000000001,1.0,0.0
DI Yogyakarta,6303.13,24454.65,17209.3,9740.25,6271.12,13822.07,8724.0,7667.15,2754.7,3714.27,3687.99,2875.6,107224.23,37546.96,50.44,189378.3,96976.13,46.7,452831.77,107224.0,51.06,547510.0,35465.86,120952.63,90075.92,54072.56,30314.74,65598.6,43050.37,38641.79,14731.58,19535.08,19298.89,15772.08,547510.1,547510.0,311000.0,16119.151999999998,77.985,0.0,1003.24,1489.345,11549.956,4163.666,7432.505,29.847,65.17,3016.812,43225.58,2473.656,27876.507,22011.110999999997,906.191,17142.470999999998,8875.304,95555.56,18184.472,45500.824,4750.398,1619.096,10341.210000000001,1648.6740000000002,118.03699999999999,3182.548,255.0,33311.791,0.0,2692.844,363.15,29084.406,2471.059,5825.558999999999,47.843,1.0,1366.968,0.11399999999999999,102.655,10318.282000000001,0.0,4945.9980000000005,8244.814,0.755,3352.0370000000003,1176.567,0.0,2999.43,45398.074,1603.799,55.370000000000005,7.465000000000001,330.15,26718.601000000002,0.0,3182.638,151.85999999999999,25029.913,1737.114,5871.9,55.722,0.0,1038.75,0.5780000000000001,20.005000000000003,6663.87,0.0,3390.058,4366.611,1.765,2824.681,667.76,0.0,2807.518,45171.772,1885.0580000000002,26.689999999999998,12.09
DKI Jakarta,24.39,0.0,0.0,3.6,11.6,3.78,13.47,98.25,68.47,33.61,12.15,4.22,273.54,0.0,0.0,0.0,498.31,46.29,2306.54,274.0,54.38,1487.0,112.87,0.0,0.0,16.94,60.76,19.78,73.28,524.11,392.62,192.9,70.0,24.19,1487.45,1487.0,877.0,150.865,17.766,0.0,2161.263,4.41,184.49,8092.3240000000005,1127.915,0.10800000000000001,7.639,111.369,13762.731,200.775,63.908,472.78000000000003,1.192,1668.1580000000001,26.338,10683.242,3411.8019999999997,5.68,229.31799999999998,72.983,181.809,5.92,342.158,14.063999999999998,0.0,12.927000000000001,0.0,2683.194,0.0,40.415,0.524,3759.251,6.6,0.0,2.95,0.0,0.034999999999999996,2.817,0.0,1950.2740000000001,0.20099999999999998,0.0,27.256999999999998,2.67,0.0,0.12,12.059999999999999,0.001,0.0,0.0,0.0,5.273,0.0,2452.203,0.0,42.193,0.023,3191.884,47.147000000000006,0.0,0.0,0.0,6.4,0.79,0.0,1915.8709999999999,0.0,0.0,52.839,2.997,0.0,0.032,0.066,0.0,0.0,0.0
Gorontalo,2965.83,8078.23,8565.54,3698.21,1840.64,3467.32,4582.09,8220.09,5296.62,3093.65,3352.69,735.63,53896.54,128230.6,48.82,625972.1,46952.15,50.02,234862.88,53897.0,52.17,281171.0,16571.81,42371.83,42865.3,17484.83,9407.67,17883.96,25391.91,46485.44,26589.45,15244.19,17213.62,3661.25,281171.26,281171.0,156995.0,149.41500000000002,0.0,0.0,10.1,164.695,6294.432,4.982,15.922,1.98,560.5,26393.74,3260.268,1.8,0.0,853.4,354.09000000000003,891.1200000000001,3.652,6009.731,1326.75,107.82000000000001,1.0,14.063999999999998,4.926,45.6,0.9,1.2,101.6,195.6,0.0,13.3,0.0,10372.039999999999,681.15,750.725,10.3,0.0,569.2,0.0,94.0,0.0,0.0,71.225,631.0,0.0,1443.49,5935.782,0.0,0.0,577.047,0.016,0.0,0.0,55.525,37.1,0.0,4.951,0.0,11039.735,738.3,603.72,0.0,0.0,370.445,0.0,162.75,4.5,0.0,24.93,251.4,0.0,1774.53,6478.37,0.0,0.0,469.41999999999996,0.059,0.0,0.0
Jambi,5738.99,6258.4,7587.65,6919.21,5820.21,9148.44,3617.54,7402.07,12725.97,7893.96,3862.81,3397.91,80373.17,1514.03,69.56,10530.87,61625.68,45.6,281022.05,80373.0,45.76,367791.0,27546.67,26998.74,34681.74,32435.29,28690.84,44505.77,17471.96,34216.32,54880.08,32671.37,18349.91,15342.31,367791.0,367791.0,212757.0,20827.388,2.48,0.0,1261.248,26428.803000000004,50551.826,4589.139,3374.5339999999997,9113.753,241.83499999999998,48771.426,8598.965,16304.621,2771.562,12718.634,225714.99500000002,14948.6,3834.262,43553.837,10568.615,6648.101,4526.875,1601.452,5143.218,933.376,1340.608,2300.431,10656.28,12287.664999999999,226.0,4996.777,5991.35,43578.476,8711.28,6411.9,5166.5,137984.0,6399.015,74958.2,6718.6,1380.42,0.0,31805.684999999998,8201.795,21.381,35790.175,56183.21,10543.5,1115.6,170341.468,120.221,0.0,0.0,12287.4,21855.898,0.0,4356.701,6675.43,42173.875,6298.369000000001,5835.62,11419.4,132836.2,6146.168,87624.0,7958.75,734.162,0.0,36441.346000000005,6493.849,8.681999999999999,33768.551,100281.408,17066.5,653.5,213975.327,123.225,0.0,0.0
Jawa Barat,62186.39,76932.74,209730.96,222637.25,188434.06,127431.93,186298.94,167966.42,124308.36,157701.27,137610.1,94061.79,1755300.23,77992.51,72.35,564290.8,1475362.09,58.47,8626879.91,1755300.0,58.26,10226654.0,362854.42,445035.71,1219278.69,1313909.97,1101292.03,716294.78,1032170.75,935039.53,736020.21,969970.57,839212.84,555574.25,10226653.75,10226654.0,5905710.0,112493.46200000001,339.446,0.0,8747.115,9499.22,103970.729,27976.731,64383.831000000006,18545.4,7656.704,51143.138,424833.16500000004,49781.502,31440.669,91153.242,215603.983,91797.938,82207.347,1311578.673,122332.959,9945.954,20780.701999999997,16137.399,24679.446,1786.563,20755.249,1546.19,167936.483,199891.68600000002,343.3,32204.0,72519.379,163755.885,60975.801,63442.887,33764.104999999996,249653.4,118389.38700000002,242716.491,142007.572,1598.478,2281.2400000000002,149838.419,7284.9800000000005,28089.208000000002,101477.70999999999,264710.129,100221.2,144134.04499999998,180094.466,17077.104,2447.7619999999997,33.28,156709.563,199415.401,261.8,37279.898,75280.20999999999,198791.659,66603.18299999999,68388.687,30636.365,237242.95,127456.072,218922.05699999997,91096.136,1080.407,1771.3700000000001,149803.017,4838.280000000001,41718.55,118827.545,268431.069,84202.8,137216.821,221733.071,11505.899000000001,2065.669,331.06
Jawa Tengah,34906.46,137299.91,335096.11,223138.01,94298.71,150616.49,207054.24,161730.89,116088.47,87508.52,70299.22,56957.1,1674994.11,412338.4,58.85,2426509.0,1554777.14,57.19,8891297.05,1674994.0,55.55,9304063.0,194648.97,798789.24,1948745.59,1268755.61,474734.76,790385.24,1073061.21,824745.45,663616.59,530157.41,410189.06,326233.71,9304062.84,9304063.0,5350386.0,196190.798,237.445,18.1,18781.735,13459.439000000002,184190.187,59282.162,95435.746,13836.948,21459.792,30967.946999999996,545258.213,12147.288,48380.202000000005,139582.63400000002,323296.156,148399.628,113282.81999999999,939759.5009999999,99658.458,412228.44,14812.642000000002,20144.610999999997,40118.946,2622.445,4857.51,16244.27,115569.4,607896.721,27783.803999999996,12333.939999999999,29552.781,248067.016,18597.594,28514.229,25782.125,295877.3,26050.54,173055.25,95859.763,27844.811999999998,12.24,88227.641,54319.126000000004,2367.7650000000003,51974.721999999994,102628.66500000001,130049.275,40769.986,161036.095,7156.293,46.284,891.257,123190.143,584034.5009999999,23542.112,16103.5,33046.815,266305.06200000003,18184.357,34535.228,26414.329999999998,357246.319,26657.992,200949.204,103434.45999999999,22086.169,7.273999999999999,97134.26800000001,46261.81,429.69899999999996,57627.590000000004,113012.61899999999,133966.95,50122.863,167398.271,8374.198,37.39,709.191
