field_name,display_name,category,year,unit,description
provinsi,Provinsi,Identitas,,,Nama provinsi di Indonesia.
cluster,Cluster,Machine Learning,,,Label numerik cluster hasil K-Means dengan K=4.
cluster_name,Nama Cluster,Machine Learning,,,Interpretasi karakteristik cluster berdasarkan hasil profiling.
produksi_padi_2025,Padi,Produksi,2025.0,ton,Produksi padi tahun 2025 dalam satuan ton.
produksi_jagung_2024,Jagung,Produksi,2024.0,ton,Produksi jagung tahun 2024 dalam satuan ton.
produksi_alpukat_2025,Alpukat,Produksi,2025.0,ton,Produksi alpukat tahun 2025 dalam satuan ton.
produksi_anggur_2025,Anggur,Produksi,2025.0,ton,Produksi anggur tahun 2025 dalam satuan ton.
produksi_apel_2025,Apel,Produksi,2025.0,ton,Produksi apel tahun 2025 dalam satuan ton.
produksi_belimbing_2025,Belimbing,Produksi,2025.0,ton,Produksi belimbing tahun 2025 dalam satuan ton.
produksi_duku_langsat_kokosan_2025,Duku Langsat Kokosan,Produksi,2025.0,ton,Produksi duku langsat kokosan tahun 2025 dalam satuan ton.
produksi_durian_2025,Durian,Produksi,2025.0,ton,Produksi durian tahun 2025 dalam satuan ton.
produksi_jambu_air_2025,Jambu Air,Produksi,2025.0,ton,Produksi jambu air tahun 2025 dalam satuan ton.
produksi_jambu_biji_2025,Jambu Biji,Produksi,2025.0,ton,Produksi jambu biji tahun 2025 dalam satuan ton.
produksi_jengkol_2025,Jengkol,Produksi,2025.0,ton,Produksi jengkol tahun 2025 dalam satuan ton.
produksi_jeruk_besar_2025,Jeruk Besar,Produksi,2025.0,ton,Produksi jeruk besar tahun 2025 dalam satuan ton.
produksi_jeruk_siam_keprok_2025,Jeruk Siam Keprok,Produksi,2025.0,ton,Produksi jeruk siam keprok tahun 2025 dalam satuan ton.
produksi_mangga_2025,Mangga,Produksi,2025.0,ton,Produksi mangga tahun 2025 dalam satuan ton.
produksi_manggis_2025,Manggis,Produksi,2025.0,ton,Produksi manggis tahun 2025 dalam satuan ton.
produksi_melinjo_2025,Melinjo,Produksi,2025.0,ton,Produksi melinjo tahun 2025 dalam satuan ton.
produksi_nangka_cempedak_2025,Nangka Cempedak,Produksi,2025.0,ton,Produksi nangka cempedak tahun 2025 dalam satuan ton.
produksi_nenas_2025,Nenas,Produksi,2025.0,ton,Produksi nenas tahun 2025 dalam satuan ton.
produksi_pepaya_2025,Pepaya,Produksi,2025.0,ton,Produksi pepaya tahun 2025 dalam satuan ton.
produksi_petai_2025,Petai,Produksi,2025.0,ton,Produksi petai tahun 2025 dalam satuan ton.
