component,explained_variance,cumulative_variance
1,0.616927614174622,0.616927614174622
2,0.0823915421693761,0.6993191563439981
3,0.04887960215938442,0.7481987585033825
4,0.03526538690593504,0.7834641454093175
5,0.03069507689035587,0.8141592222996734
6,0.022352506477244277,0.8365117287769177
7,0.02090613598423549,0.8574178647611532
8,0.0172491136751826,0.8746669784363358
9,0.014289858949292378,0.8889568373856281
10,0.011560476942489758,0.9005173143281179
11,0.010588655144805559,0.9111059694729234
12,0.009822956421715502,0.9209289258946389
13,0.009030343935908286,0.9299592698305472
14,0.00811420856794689,0.9380734783984941
15,0.007735831760277402,0.9458093101587715
16,0.0065527341181495806,0.9523620442769211
17,0.006401088454681391,0.9587631327316024
18,0.005357671343578127,0.9641208040751805
19,0.0049872767059902364,0.9691080807811707
20,0.0045974474164580436,0.9737055281976288
21,0.0039012285993551537,0.9776067567969839
22,0.0032948558809644955,0.9809016126779484
23,0.003047140606023085,0.9839487532839715
24,0.002818046873941012,0.9867668001579125
25,0.0022800584329028374,0.9890468585908153
26,0.0019150723498664692,0.9909619309406817
27,0.0017435057987426183,0.9927054367394244
28,0.0015072186029175243,0.9942126553423418
29,0.0012125922232939185,0.9954252475656358
30,0.0010989420246602123,0.996524189590296
31,0.0009806869510300318,0.997504876541326
32,0.0007624137832093322,0.9982672903245353
33,0.0004876581508545433,0.9987549484753898
34,0.0004350252506908508,0.9991899737260806
35,0.00037644357779115294,0.9995664173038719
36,0.00023354077077987197,0.9997999580746517
37,0.00020004192534796728,0.9999999999999997
38,3.2171636343580244e-33,0.9999999999999997
