cluster,cluster_name,komoditas,tahun,median_produksi,mean_z_score
0,Produksi Multi-Komoditas Relatif Rendah,Padi,2025,2832.0,-1.2760339119743827
0,Produksi Multi-Komoditas Relatif Rendah,Jagung,2024,2909.1949999999997,-0.7374418109082064
0,Produksi Multi-Komoditas Relatif Rendah,Alpukat,2025,59.8615,-1.3492990852064268
0,Produksi Multi-Komoditas Relatif Rendah,Anggur,2025,0.0,-0.7837795092549307
0,Produksi Multi-Komoditas Relatif Rendah,Apel,2025,0.0,-0.3632162837634181
0,Produksi Multi-Komoditas Relatif Rendah,Belimbing,2025,47.055,-1.1354524022394754
0,Produksi Multi-Komoditas Relatif Rendah,Duku Langsat Kokosan,2025,79.773,-1.33105643724249
0,Produksi Multi-Komoditas Relatif Rendah,Durian,2025,295.93100000000004,-1.54028196556195
0,Produksi Multi-Komoditas Relatif Rendah,Jambu Air,2025,45.528,-1.3407473330516715
0,Produksi Multi-Komoditas Relatif Rendah,Jambu Biji,2025,113.725,-1.320821176747369
0,Produksi Multi-Komoditas Relatif Rendah,Jengkol,2025,0.054,-1.1588633157944488
0,Produksi Multi-Komoditas Relatif Rendah,Jeruk Besar,2025,7.974499999999999,-0.922679116510358
0,Produksi Multi-Komoditas Relatif Rendah,Jeruk Siam Keprok,2025,152.947,-1.1673418751666187
0,Produksi Multi-Komoditas Relatif Rendah,Mangga,2025,776.0500000000001,-1.2482222073048153
0,Produksi Multi-Komoditas Relatif Rendah,Manggis,2025,0.905,-1.5588470719469132
0,Produksi Multi-Komoditas Relatif Rendah,Melinjo,2025,3.1665,-1.2301095010644305
0,Produksi Multi-Komoditas Relatif Rendah,Nangka Cempedak,2025,201.131,-1.5415035252474176
0,Produksi Multi-Komoditas Relatif Rendah,Nenas,2025,24.266,-1.4046499746208416
0,Produksi Multi-Komoditas Relatif Rendah,Pepaya,2025,629.3465,-1.4707935168905204
0,Produksi Multi-Komoditas Relatif Rendah,Petai,2025,14.995000000000001,-1.146581003908029
0,Produksi Multi-Komoditas Relatif Rendah,Pisang,2025,2206.464,-1.3550164504406763
0,Produksi Multi-Komoditas Relatif Rendah,Rambutan,2025,834.183,-1.31249713314009
0,Produksi Multi-Komoditas Relatif Rendah,Salak,2025,64.215,-1.2987947560205155
0,Produksi Multi-Komoditas Relatif Rendah,Sawo,2025,0.55,-1.2954785396659565
0,Produksi Multi-Komoditas Relatif Rendah,Sirsak,2025,30.4675,-1.4608260475348018
0,Produksi Multi-Komoditas Relatif Rendah,Sukun,2025,113.11500000000001,-1.3504313644362211
0,Produksi Multi-Komoditas Relatif Rendah,Buah Naga,2025,2.975,-1.4849129335879536
0,Produksi Multi-Komoditas Relatif Rendah,Jeruk Lemon,2025,3.5035,-1.2163585814019697
0,Produksi Multi-Komoditas Relatif Rendah,Lengkeng,2025,0.0,-1.5441733791044312
0,Produksi Multi-Komoditas Relatif Rendah,Bawang Daun,2025,48.7125,-1.1487486984379804
0,Produksi Multi-Komoditas Relatif Rendah,Bawang Merah,2025,35.7705,-1.0796324216704196
0,Produksi Multi-Komoditas Relatif Rendah,Bawang Putih,2025,0.0,-0.4178606876451883
0,Produksi Multi-Komoditas Relatif Rendah,Bayam,2025,701.2280000000001,-1.0344859626391152
0,Produksi Multi-Komoditas Relatif Rendah,Buncis,2025,57.0675,-0.9452885213556321
0,Produksi Multi-Komoditas Relatif Rendah,Cabai Rawit,2025,961.003,-1.3033053220733162
0,Produksi Multi-Komoditas Relatif Rendah,Kacang Panjang,2025,512.3185,-1.3418613264073171
0,Produksi Multi-Komoditas Relatif Rendah,Kangkung,2025,1721.0525,-1.0523735662598022
0,Produksi Multi-Komoditas Relatif Rendah,Kembang Kol,2025,16.8215,-0.6046082598512026
0,Produksi Multi-Komoditas Relatif Rendah,Kentang,2025,0.0,-0.7865149556873823
0,Produksi Multi-Komoditas Relatif Rendah,Ketimun,2025,256.3625,-1.437446527619193
0,Produksi Multi-Komoditas Relatif Rendah,Kubis,2025,19.008499999999998,-0.4471930368571047
0,Produksi Multi-Komoditas Relatif Rendah,Labu Siam,2025,72.89999999999999,-0.7282101879444114
0,Produksi Multi-Komoditas Relatif Rendah,Melon,2025,42.05,-1.1095785003710175
0,Produksi Multi-Komoditas Relatif Rendah,Paprika,2025,0.0,-0.5480303853367099
0,Produksi Multi-Komoditas Relatif Rendah,Petsai Sawi,2025,1080.81,-1.166587473508981
0,Produksi Multi-Komoditas Relatif Rendah,Semangka,2025,225.85,-1.3881857742525485
0,Produksi Multi-Komoditas Relatif Rendah,Stroberi,2025,0.0,-0.6605207578185821
0,Produksi Multi-Komoditas Relatif Rendah,Terung,2025,734.596,-1.3047220442087988
0,Produksi Multi-Komoditas Relatif Rendah,Tomat,2025,545.655,-1.0433029367151363
0,Produksi Multi-Komoditas Relatif Rendah,Wortel,2025,0.0,-0.805506069907799
0,Produksi Multi-Komoditas Relatif Rendah,Cabai Besar Tw Teropong,2025,48.713,-0.9239749139611158
0,Produksi Multi-Komoditas Relatif Rendah,Cabai Keriting,2025,43.097,-1.3445165270787258
0,Produksi Multi-Komoditas Relatif Rendah,Jamur Tiram,2025,0.0,-1.052810560993821
0,Produksi Multi-Komoditas Relatif Rendah,Jamur Merang,2025,0.0,-0.4018461585202621
0,Produksi Multi-Komoditas Relatif Rendah,Jamur Lainnya,2025,0.0,-0.5086988229979085
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Padi,2025,1382697.0,0.5888957818802796
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Jagung,2024,293052.3,0.6165749746381075
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Alpukat,2025,15818.154,0.774286227072513
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Anggur,2025,13.408,0.49814975470314277
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Apel,2025,0.1,0.1680596704101922
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Belimbing,2025,534.188,0.280772632786155
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Duku Langsat Kokosan,2025,4868.984,0.2981578542243314
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Durian,2025,50551.826,0.5654038838961039
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Jambu Air,2025,3459.0160000000005,0.423152221124174
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Jambu Biji,2025,5101.7300000000005,0.4735835557849304
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Jengkol,2025,4621.794,0.2740905732759182
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Jeruk Besar,2025,353.255,0.3508388870301482
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Jeruk Siam Keprok,2025,29358.92,0.47201048447048355
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Mangga,2025,23588.604,0.4398786722094822
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Manggis,2025,6179.477,0.6031922304308592
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Melinjo,2025,749.5899999999999,0.3167931728556228
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Nangka Cempedak,2025,12718.634,0.46205519416870544
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Nenas,2025,17836.272,0.3787580210566238
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Pepaya,2025,30850.583,0.6164337452056234
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Petai,2025,2337.795,0.19752854436655284
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Pisang,2025,134617.75,0.4161604411139629
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Rambutan,2025,10445.254,0.3511813557500932
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Salak,2025,1338.267,0.3800576967852416
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Sawo,2025,2752.802,0.4842383507969115
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Sirsak,2025,1601.452,0.43987529331601105
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Sukun,2025,1617.9,0.1951345274612522
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Buah Naga,2025,3801.609,0.47547030196439366
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Jeruk Lemon,2025,966.505,0.5193876216253588
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Lengkeng,2025,510.205,0.35880941818756057
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Bawang Daun,2025,4013.352,0.6107371642377922
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Bawang Merah,2025,13281.55,0.7425906168502028
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Bawang Putih,2025,0.2,0.31162345743914016
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Bayam,2025,4230.219,0.16755836602196542
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Buncis,2025,4233.31,0.609705079200378
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Cabai Rawit,2025,27280.977000000003,0.5904265420347945
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Kacang Panjang,2025,7758.957,0.4621776999609626
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Kangkung,2025,7019.041,0.3362903878586001
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Kembang Kol,2025,801.15,0.8404119375555008
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Kentang,2025,2162.4,0.8967109804694041
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Ketimun,2025,6146.168,0.45183002513119064
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Kubis,2025,11576.85,0.8993631159328322
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Labu Siam,2025,7958.75,0.7862365016491253
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Melon,2025,830.5649999999999,0.3595863267393951
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Paprika,2025,3.0,0.20617939321615927
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Petsai Sawi,2025,11414.652,0.5750445714718329
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Semangka,2025,9174.8,0.4454459578684426
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Stroberi,2025,26.3,0.5287614792150624
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Terung,2025,12491.988,0.6061347947065093
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Tomat,2025,23964.93,0.7309096722463444
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Wortel,2025,6627.95,0.9437897115354686
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Cabai Besar Tw Teropong,2025,2973.547,0.19131923322740477
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Cabai Keriting,2025,15893.857,0.45330836125497653
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Jamur Tiram,2025,104.339,0.1676454069933186
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Jamur Merang,2025,0.0,-0.0904904508614343
1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Jamur Lainnya,2025,0.0,-0.08091387167009374
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Padi,2025,10226654.0,1.356406594750671
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Jagung,2024,2426509.0,1.217072573552687
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Alpukat,2025,196190.798,1.5787749325296163
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Anggur,2025,237.445,1.4034247330248484
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Apel,2025,18.1,1.920736836948203
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Belimbing,2025,18781.735,1.9396225719310227
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Duku Langsat Kokosan,2025,12858.253,0.8223986214760591
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Durian,2025,184190.187,1.1339768859217567
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Jambu Air,2025,27976.731,1.477108699101053
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Jambu Biji,2025,77208.017,1.58798730650847
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Jengkol,2025,13836.948,0.9858824172990767
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Jeruk Besar,2025,21459.792,1.7860492215588584
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Jeruk Siam Keprok,2025,51143.138,1.016757162919496
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Mangga,2025,545258.213,1.6892397688078364
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Manggis,2025,34165.543,1.1301867105828802
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Melinjo,2025,31440.669,1.5426790050783843
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Nangka Cempedak,2025,139582.63400000002,1.449288643898117
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Nenas,2025,323296.156,1.2735675134918167
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Pepaya,2025,148399.628,1.3236338551618616
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Petai,2025,82207.347,1.5531437601626232
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Pisang,2025,1311578.673,1.4810558669409648
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Rambutan,2025,122332.959,1.3914137598922391
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Salak,2025,386041.446,1.5929686315654141
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Sawo,2025,17578.735999999997,1.1887983324042504
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Sirsak,2025,20144.611,1.562414065130903
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Sukun,2025,24679.446,1.5604196163701805
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Buah Naga,2025,2622.445,1.0264905338065347
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Jeruk Lemon,2025,8450.788,1.605136270183208
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Lengkeng,2025,15017.689000000002,1.3326130756071246
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Bawang Daun,2025,123190.143,1.8073796985871224
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Bawang Merah,2025,500301.227,1.6829767954746055
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Bawang Putih,2025,324.308,2.117045646122367
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Bayam,2025,16103.5,1.4847789715422473
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Buncis,2025,33046.815,1.4590484691570327
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Cabai Rawit,2025,266305.06200000003,1.7011726501431284
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Kacang Panjang,2025,31270.603000000003,1.3182355857025785
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Kangkung,2025,34535.228,1.5337968990356503
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Kembang Kol,2025,28895.090000000004,1.6498498505340489
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Kentang,2025,252624.232,1.8078778710475207
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Ketimun,2025,62127.868,1.445226827152749
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Kubis,2025,210179.06,1.464440366057514
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Labu Siam,2025,91096.136,1.6554583019308955
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Melon,2025,22086.169,1.505879281529858
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Paprika,2025,1771.37,2.391894447102558
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Petsai Sawi,2025,97134.268,1.6230553238338647
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Semangka,2025,46261.81,1.0555441838520576
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Stroberi,2025,578.914,2.2705008104794153
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Terung,2025,94180.995,1.4344475281643287
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Tomat,2025,126810.23,1.4506728132942257
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Wortel,2025,89213.55799999999,1.6259669779857733
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Cabai Besar Tw Teropong,2025,104535.644,1.5975744151927447
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Cabai Keriting,2025,167398.271,1.1742987973365073
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Jamur Tiram,2025,11505.899,1.9692337599696088
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Jamur Merang,2025,172.96800000000002,2.6818669042366263
2,Sentra Produksi Multi-Komoditas Sangat Tinggi,Jamur Lainnya,2025,331.06,2.3949912813937986
3,Produksi Menengah dengan Komoditas Buah/Tropis Menonjol,Padi,2025,302148.0,-0.10832811806432617
3,Produksi Menengah dengan Komoditas Buah/Tropis Menonjol,Jagung,2024,10129.869999999999,-0.4119398502634154
3,Produksi Menengah dengan Komoditas Buah/Tropis Menonjol,Alpukat,2025,915.872,-0.2862609334200075
3,Produksi Menengah dengan Komoditas Buah/Tropis Menonjol,Anggur,2025,3.929,-0.3154274954411392
3,Produksi Menengah dengan Komoditas Buah/Tropis Menonjol,Apel,2025,0.0,-0.36008971114784005
3,Produksi Menengah dengan Komoditas Buah/Tropis Menonjol,Belimbing,2025,382.85699999999997,-0.027520908864090803
3,Produksi Menengah dengan Komoditas Buah/Tropis Menonjol,Duku Langsat Kokosan,2025,5426.088,0.30751453775681864
3,Produksi Menengah dengan Komoditas Buah/Tropis Menonjol,Durian,2025,11078.991,0.11214818400578534
3,Produksi Menengah dengan Komoditas Buah/Tropis Menonjol,Jambu Air,2025,1044.969,0.056690978035425256
3,Produksi Menengah dengan Komoditas Buah/Tropis Menonjol,Jambu Biji,2025,1887.7305000000001,-0.025284195053610604
3,Produksi Menengah dengan Komoditas Buah/Tropis Menonjol,Jengkol,2025,558.8225,0.19643441584795987
3,Produksi Menengah dengan Komoditas Buah/Tropis Menonjol,Jeruk Besar,2025,104.0915,-0.18125859028468774
3,Produksi Menengah dengan Komoditas Buah/Tropis Menonjol,Jeruk Siam Keprok,2025,6858.23,0.010880515318440392
3,Produksi Menengah dengan Komoditas Buah/Tropis Menonjol,Mangga,2025,5644.977500000001,-0.05716888476487436
