provinsi,cluster,cluster_name,komoditas,tahun,produksi,median_cluster,selisih_dengan_median_cluster
Aceh,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Padi,2025,1615200.0,1382697.0,232503.0
Aceh,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Jagung,2024,52249.4,293052.3,-240802.9
Aceh,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Alpukat,2025,122079.168,15818.154,106261.01400000001
Aceh,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Anggur,2025,1.85,13.408,-11.558
Aceh,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Apel,2025,66.19,0.1,66.09
Aceh,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Belimbing,2025,2247.038,534.188,1712.85
Aceh,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Duku Langsat Kokosan,2025,5482.569,4868.984,613.585
Aceh,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Durian,2025,58496.921,50551.826,7945.095000000001
Aceh,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Jambu Air,2025,4929.351000000001,3459.0160000000005,1470.335
Aceh,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Jambu Biji,2025,6060.844999999999,5101.7300000000005,959.1149999999989
Aceh,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Jengkol,2025,19114.44,4621.794,14492.645999999999
Aceh,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Jeruk Besar,2025,6188.035,353.255,5834.78
Aceh,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Jeruk Siam Keprok,2025,55383.575,29358.92,26024.655
Aceh,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Mangga,2025,23588.604,23588.604,0.0
Aceh,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Manggis,2025,7091.485000000001,6179.477,912.0080000000007
Aceh,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Melinjo,2025,28475.392,749.5899999999999,27725.802
Aceh,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Nangka Cempedak,2025,9195.556,12718.634,-3523.0779999999995
Aceh,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Nenas,2025,12465.345,17836.272,-5370.9270000000015
Aceh,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Pepaya,2025,41842.243,30850.583,10991.660000000003
Aceh,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Petai,2025,2181.9990000000003,2337.795,-155.79599999999982
Aceh,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Pisang,2025,46517.179,134617.75,-88100.571
Aceh,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Rambutan,2025,71187.75,10445.254,60742.496
Aceh,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Salak,2025,455.59,1338.267,-882.6770000000001
Aceh,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Sawo,2025,2592.3630000000003,2752.802,-160.43899999999985
Aceh,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Sirsak,2025,1160.267,1601.452,-441.18499999999995
Aceh,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Sukun,2025,1617.9,1617.9,0.0
Aceh,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Buah Naga,2025,375.34,3801.609,-3426.269
Aceh,1,Produksi Tinggi dengan Hortikultura Dataran Tinggi Menonjol,Jeruk Lemon,2025,966.505,966.505,0.0
