granularitas,label,nilai
Per Tahun,2024,4.2
Per Tahun,2025,5.1
Per Tahun,2026,5.8
Per Bulan,Jan,1.8
Per Bulan,Feb,2.1
Per Bulan,Mar,2.4
Per Bulan,Apr,3.0
Per Bulan,Mei,3.5
Per Bulan,Jun,4.1
Per Bulan,Jul,4.8
Per Bulan,Ags,5.3
Per Bulan,Sep,4.9
Per Bulan,Okt,4.2
Per Bulan,Nov,3.4
Per Bulan,Des,2.7
Per Minggu,M1,0.9
Per Minggu,M2,1.1
Per Minggu,M3,1.0
Per Minggu,M4,1.3
Per Minggu,M5,1.2
Per Minggu,M6,1.5
Per Minggu,M7,1.4
Per Minggu,M8,1.6
Per Minggu,M9,1.5
Per Minggu,M10,1.8
Per Minggu,M11,1.7
Per Minggu,M12,1.9
