provinsi,cluster,indeks,produksi_juta_ton,luas_juta_ha,produktivitas_ton_ha,nama_peta
DKI Jakarta,1,85,2.0,1.0,4.0,Jakarta Raya
Jawa Barat,1,85,5.3,1.2,4.1,
Jawa Timur,1,85,6.1,1.5,4.3,
Jawa Tengah,1,85,4.8,1.3,3.9,
Banten,1,80,,,,
Sumatera Selatan,1,80,,,,
Kalimantan Barat,1,78,,,,
Sulawesi Tengah,1,80,,,,
NTB,1,78,,, ,Nusa Tenggara Barat
Sulawesi Utara,1,75,,,,
Papua,1,72,0.4,0.2,1.3,
Maluku Utara,1,70,,,,
Sumatera Utara,2,55,1.8,0.5,2.8,
Sulawesi Selatan,2,55,1.2,0.4,2.5,
Bali,2,50,,,,
Kalimantan Timur,2,52,,,,
Riau,2,50,,,,
Lampung,2,48,,,,
Kalimantan Selatan,2,50,,,,
Aceh,2,48,,,,
Kepulauan Riau,2,48,,,,
Jambi,2,45,,,,
Bengkulu,2,45,,,,
Sumatera Barat,2,45,,,,
Bangka Belitung,2,42,,, ,Bangka-Belitung
Kalimantan Tengah,2,42,,,,
Sulawesi Tenggara,2,42,,,,
DI Yogyakarta,2,40,,, ,Yogyakarta
NTT,3,25,,, ,Nusa Tenggara Timur
Maluku,3,25,0.3,0.15,1.1,
Sulawesi Barat,3,22,,,,
Gorontalo,3,22,,,,
Kalimantan Utara,3,20,,,,
Papua Barat,3,20,,, ,Irian Jaya Barat
Papua Barat Daya,3,18,,,,
Papua Pegunungan,3,18,,,,
Papua Selatan,3,18,,,,
Papua Tengah,3,18,,,,
